ORF Localization
YKL190W cytosol
YMR266W cell_periphery
YMR024W mitochondria
YOL052C cytosol
YFL041W vacuole_membrane
YNR018W mitochondria
YOR272W nucleolus
YAL059W nucleus
YBR214W cytosol
YLR395C mitochondria
YGR269W cytosol
YDR322W mitochondria
YLR237W cell_periphery
YDL166C nucleus
YJR144W mitochondria
YJL154C punctate:vacuole_membrane
YEL058W cytosol
YMR148W punctate
YDR135C vacuole_membrane
YDR516C cytosol
YKL027W mitochondria
YGL111W nucleus
YMR236W nucleus
YOR243C nucleus
YHR070W nucleus:cytosol
YIL115C nuclear_periphery
YBR086C cell_periphery
YMR043W nucleus
YAL021C cytosol
YLR435W nucleus:cytosol
YOL076W cytosol
YER148W nucleus
YLR312W-A mitochondria
YLR363C cytosol
YOR265W cytosol
YKL041W punctate
YOR267C cytosol
YMR250W cytosol
YJL196C ER
YLR245C cytosol
YDL040C cytosol
YKL122C ER
YHL007C cytosol:bud_neck
YKL080W cytosol
YLR380W cytosol
YKR072C cytosol
YBR160W nucleus
YER168C cytosol
YKL167C mitochondria
YOR196C mitochondria
YGR087C nucleus
YPR169W nucleus
YER072W ER
YGL073W cytosol
YNL182C nucleus
YMR237W punctate
YCR043C punctate
YGR195W nucleus
YOR014W cytosol
YJL039C nuclear_periphery
YPL086C cytosol
YNL142W cell_periphery
YHR013C cytosol
YHR135C cytosol
YLR418C nucleus
YOL078W below_threshold
YIL093C mitochondria
YGL019W nucleus
YMR099C cytosol
YJR059W cytosol
YDR465C nucleus:cytosol
YOL020W cell_periphery
YKL126W cytosol
YOR150W mitochondria
YNR022C mitochondria
YBR155W cytosol
YDL202W mitochondria
YDR189W punctate
YNL180C nucleus:cytosol
YDL018C ER
YGR235C mitochondria
YML067C punctate:ER
YBR120C mitochondria
YNR034W cytosol
YOL077W-A mitochondria
YDR116C mitochondria
YLR285W cytosol
YML031W nuclear_periphery
YMR107W cytosol
YGR074W nucleus
YFR002W nuclear_periphery
YOR370C cytosol
YJL101C cytosol
YKL138C mitochondria
YOR095C cytosol
YGL203C punctate
YKR026C cytosol
YNL084C punctate
YMR074C cytosol
YMR091C nucleus
YIL090W ER
YBR117C nucleus
YDL193W punctate:ER
YOR109W punctate
YML057W cytosol
YDL235C cytosol
YDL070W nucleus
YOR326W cytosol:bud_neck
YDR100W punctate
YFR001W nucleus
YJL082W cytosol
YKR071C cytosol
YOR354C mitochondria
YHR085W nucleus
YLR200W cytosol
YCR087C-A nucleolus
YEL055C nucleus
YOR120W cytosol
YGR152C cytosol
YLR287C cytosol
YGL129C mitochondria
YKR093W cell_periphery
YOR016C ER
YLR033W nucleus
YBR252W cytosol
YDR272W cytosol
YMR222C cytosol
YHR201C cytosol
YLR250W punctate
YMR016C nucleus
YER081W cytosol
YDR354W cytosol
YDL099W punctate
YBR017C nucleus
YHR132W-A cytosol
YBL079W nuclear_periphery
YIR026C cytosol
YBL017C punctate
YPL195W punctate
YDR294C ER
YNL185C mitochondria
YIL038C cytosol
YMR188C mitochondria
YOR001W nucleus
YBL029C-A cell_periphery
YGR210C cytosol
YMR131C nucleus
YKL028W nucleus
YNL081C mitochondria
YNL062C nucleus
YKL129C punctate:cytosol
YDL128W ER
YDL111C nucleus
YKL193C nucleus:cytosol
YJR003C mitochondria
YPR189W cytosol
YJR042W nuclear_periphery
YOR165W punctate
YGR158C nucleus
YER105C nuclear_periphery
YMR089C mitochondria
YOR342C nucleus
YNL045W cytosol
YJL098W cytosol
YDR430C mitochondria
YML105C ER
YNL177C mitochondria
YDR028C cytosol
YPR182W nucleus
YDR367W punctate
